2013-1101; I § 15, stk. 3, udgår », 12 uger i 2011 og 8 uger i 2012«.
2013-620; Efter § 12 g indsættes i kapitel 4:
2013-620; I § 19, stk. 1, indsættes efter »§ 12 g«: », § 12 h, stk. 4«.
2013-620; I § 19, stk. 2, nr. 2, indsættes efter »§ 12 g«: », § 12 h, stk. 4,«.
2013-621; I § 3 indsættes som stk. 6:
2013-622; § 12, stk. 3, 5. pkt., affattes således:
2013-622; I § 26, stk. 5, ændres »§ 12, stk. 3, 4. pkt., og stk. 4-6« til: »§ 12, stk. 3-7«.
2013-622; I § 28 indsættes som stk. 2-4:
2013-622; Efter § 1 indsættes:
2013-622; Efter § 43 indsættes før overskriften før § 44:
2013-622; Efter § 54 indsættes før overskriften før § 55:
2013-622; Efter § 63 indsættes før overskriften før § 64:
2013-622; Efter § 50 indsættes i kapitel 8:
2013-622; I § 51, stk. 6, indsættes efter »§ 50, stk. 2,«: »og afgørelser om afvisning af ansøgninger efter § 50 a, stk. 1, 2. pkt.,«.
2013-622; I § 59 indsættes efter stk. 1 som nye stykker:
2013-622; I § 160 indsættes som stk. 2 og 3:
2013-622; Efter § 17 indsættes:
2013-622; I § 110, stk. 1, nr. 1, indsættes efter »§ 15 b, stk. 2,«: »§ 17 a, stk. 1,«.
2013-622; Efter § 5 indsættes:
2013-622; Efter § 112 indsættes før overskriften før § 113:
2013-622; Efter § 58 c indsættes i kapitel 5 a:
2013-622; Efter § 16 indsættes:
2013-622; Efter § 33 indsættes:
2013-622; Efter § 742 indsættes:
2013-622; Efter § 749 indsættes i kapitel 67:
2013-622; Efter § 56 a indsættes:
2013-622; Efter § 1 indsættes:
2013-622; Efter § 2 indsættes:
2013-622; Efter § 11 indsættes i kapitel 4:
2013-623; § 3, stk. 1, 2. pkt., affattes således:
2013-623; § 3, stk. 2, 1. pkt., affattes således:
2013-623; I § 3, stk. 2, 2. pkt., ændres »uddannelser nævnt i 1. pkt.« til: »uddannelsen«.
2013-623; § 3 a, stk. 3, 1. og 2. pkt., ophæves, og i stedet indsættes:
2013-623; I § 3 a, stk. 4, ændres »akkrediterede som en del af den danske uddannelse« til: »omfattet af den danske akkreditering«.
2013-623; Overskriften til kapitel 4 affattes således:
2013-623; §§ 11-15 ophæves.
2013-623; § 16, stk. 1 og 2, ophæves.
2013-623; I § 16, stk. 3, der bliver stk. 1, udgår »endvidere«.
2013-623; I § 16, stk. 5, der bliver stk. 3, ændres »stk. 1« til: »1. pkt.«
2013-623; § 17 ophæves.
2013-623; I § 17 a, stk. 1, ændres »denne lov« til: »lov om akkreditering af videregående uddannelsesinstitutioner«.
2013-623; I § 17 a, stk. 2, indsættes efter »akkrediteret«: »institutionen eller«.
2013-623; I § 17 a, stk. 2, udgår », jf. §§ 14-16«.
2013-623; § 39, stk. 6, ophæves.
2013-623; Overskriften til kapitel 3 a affattes således:
2013-623; §§ 15 c-15 g ophæves.
2013-623; § 15 h, stk. 1 og 2, ophæves.
2013-623; I § 15 h, stk. 3, der bliver stk. 1, udgår »endvidere«.
2013-623; I § 15 h, stk. 5, der bliver stk. 3, ændres »stk. 1« til: »1. pkt.«
2013-623; I § 15 i, stk. 1, ændres »denne lov« til: »lov om akkreditering af videregående uddannelsesinstitutioner«.
2013-623; I § 15 i, stk. 2, indsættes efter »akkrediteret«: »institutionen eller«.
2013-623; I § 15 i, stk. 2, udgår », jf. §§ 15 f-15 h«.
2013-623; § 34 b ophæves.
2013-623; I § 8, stk. 2, 2. pkt., ændres »Akkrediteringsinstitutionen« til: »Danmarks Akkrediteringsinstitution og Akkredite­rings­rådet«.
2013-624; Efter § 8 indsættes i kapitel 2:
2013-625; § 11 affattes således:
2013-626; I § 59 a, stk. 2, og § 124 h, stk. 1-3, ændres »100 kr.« til: »120 kr.«
2013-626; I § 124 a, stk. 1, 1. pkt., ændres »580 kr.« til: »600 kr.«, i § 124 a, stk. 1, 2. pkt., ændres »580 kr. for hver« til: »600 kr. for den første og 580 kr. for den anden«, i § 124 a, stk. 2, ændres »260 kr.« til: »280 kr.«, og i § 124 a, stk. 3, 1. pkt., ændres »870 kr.« til: »890 kr.«
2013-626; I § 124 c, stk. 1, nr. 1, 2, 5 og 6, ændres »260 kr.« til: »280 kr.«, i § 124 c, stk. 1, nr. 3, ændres »100 kr.« til: »120 kr.«, i § 124 c, stk. 1, nr. 4, ændres »135 kr.« til: »155 kr.«, i § 124 c, stk. 2, ændres »150 kr.« til: »170 kr.«, i § 124 c, stk. 3, ændres »30 kr.« til: »50 kr.«, og i § 124 c, stk. 5, ændres »100 kr.« til: »120 kr.«
2013-626; I § 124 d, stk. 1, 4 og 7-10, ændres »100 kr.« til: »120 kr.«, i § 124 d, stk. 2, ændres »420 kr.« til: »440 kr.«, og i § 124 d, stk. 5 og 6, ændres »225 kr.« til: »245 kr.«
2013-626; § 124 d affattes således:
2013-626; I § 124 e, stk. 1, 1. pkt., ændres »320 kr. for hver« til: »340 kr. for den første og 320 kr. for hver efterfølgende«, i § 124 e, stk. 1, 2. pkt., ændres »440 kr.« til: »460 kr.«, og i § 124 e, stk. 3, ændres »100 kr.« til: »120 kr.«
2013-626; § 1, nr. 9, ophæves.
2013-626; I § 6, stk. 2, ændres »lovens § 1, nr. 9 og 12« til: »lovens § 1, nr. 12«.
2013-627; I § 118, stk. 7, indsættes som 3. pkt.:
2013-627; I § 126, stk. 1, nr. 7, indsættes efter »kørselsforløb,«: »samt at frakendelse kun sker ubetinget, hvis der er tale om forhold, der ikke er omfattet af § 125, stk. 1, nr. 7, alene, idet der dog i særlig grove tilfælde kan ske ubetinget frakendelse, selv om forholdene alene er omfattet af § 125, stk. 1, nr. 7,«.
2013-628; § 38, stk. 3, ophæves.
2013-628; I § 40 a, stk. 1, nr. 1, ændres »behandlingsforløb, uddannelsesforløb eller arbejdstræning« til: »behandlingsforløb, uddannelsesforløb, arbejdstræning eller arbejde«.
2013-628; I § 40 a, stk. 7, ændres »§ 38, stk. 4« til: »§ 38, stk. 3«.
2013-628; § 124, stk. 5, ophæves, og i stedet indsættes:
2013-628; I § 48, stk. 2, indsættes efter nr. 2 som nyt nummer:
2013-628; I § 48 indsættes som stk. 3:
2013-628; § 52, 2. pkt., affattes således:
2013-628; I § 52 indsættes som 3. pkt.:
2013-628; I § 78 a, stk. 1, ændres »indtil 5 måneder« til: »indtil 6 måneder«.
2013-628; I § 78 b, stk. 1, nr. 2, indsættes efter »kontrol,«: »og«.
2013-628; § 78 b, stk. 1, nr. 3, ophæves.
2013-628; I § 78 b indsættes efter stk. 1 som nyt stykke:
2013-628; I § 78 b, stk. 2, der bliver stk. 3, indsættes efter »nægtes meddelt,«: »hvis særegne hensyn til retshåndhævelsen undtagelsesvis kræver dette, eller«.
2013-628; I § 78 b, stk. 3, der bliver stk. 4, ændres »betingelserne i stk. 1, nr. 1-4,« til: »betingelserne i stk. 1, nr. 1-3,«.
2013-628; I § 78 b, stk. 4, der bliver stk. 5, ændres »den i stk. 3 nævnte undersøgelse« til: »den i stk. 4 nævnte undersøgelse«.
2013-628; § 78 c, stk. 1, nr. 6, affattes således:
2013-628; I § 78 e, stk. 1, nr. 4, ændres »de i § 78 b, stk. 1, nr. 1, 2 og 4, nævnte betingelser« til: »de i § 78 b, stk. 1, nr. 1-3, nævnte betingelser«.
2013-628; I § 24, stk. 3, nr. 4, indsættes efter »politiets grunduddannelse«: »eller Kriminalforsorgens uddannelse til fængselsbetjent«.
2013-629; I § 741 g, stk. 1, indsættes efter 1. pkt.:
2013-629; § 11, stk. 2, ophæves, og i stedet indsættes:
2013-629; I § 11, stk. 3, der bliver stk. 5, indsættes efter »stk. 2«: »-4«.
2013-63; § 103 a affattes således:
2013-63; § 71 b, stk. 3, ophæves.
2013-63; Efter § 71 b indsættes:
2013-630; § 43, stk. 1, affattes således:
2013-630; I § 43 indsættes som stk. 10:
2013-631; I § 66, stk. 2, nr. 3, indsættes efter »forsvaret«: »eller som civil prøvesagkyndig i politiet«.
2013-632; § 2 ophæves, og i stedet indsættes:
2013-632; I § 3 indsættes som stk. 2:
2013-632; I § 4 indsættes som 3. pkt.:
2013-633; I § 7 a, stk. 2, nr. 4, ændres »forbrydelse mod kønssædeligheden« til: »seksualforbrydelse«.
2013-633; I § 68 a, stk. 2, 1. pkt., § 69 a, stk. 2, 1. pkt., og § 70, stk. 2, nr. 1, ændres »sædelighedsforbrydelse« til: »seksualforbrydelse«.
2013-633; I § 93, stk. 3, ændres »§§ 224 og 225« til: »§ 225«.
2013-633; § 94, stk. 4, affattes således:
2013-633; I § 210, stk. 1, indsættes som 2. pkt.:
2013-633; I § 210, stk. 3, ændres »kønslig omgængelse med en person af samme køn og med hensyn til anden kønslig omgængelse end samleje« til: »andet seksuelt forhold end samleje«.
2013-633; Overskriften til 24. kapitel affattes således:
2013-633; § 216 affattes således:
2013-633; § 217 ophæves.
2013-633; I § 218, stk. 1, udgår »uden for ægteskab«.
2013-633; § 218, stk. 2, ophæves.
2013-633; § 219 affattes således:
2013-633; I § 220 ændres »tjenstlige eller økonomiske afhængighed skaffer sig samleje uden for ægteskab« til: »arbejdsmæssige, økonomiske eller behandlings- eller plejemæssige afhængighed skaffer sig samleje«.
2013-633; I § 220 ændres »under 21 år, med fængsel indtil 3 år« til: »under 18 år, med fængsel indtil 4 år«.
2013-633; I § 221 ændres »6 år« til: »4 år«.
2013-633; I § 221 udgår »vildfarende anser samlejet som ægteskabeligt eller«.
2013-633; § 222, stk. 1, affattes således:
2013-633; I § 222, stk. 2, udgår »barnet været under 12 år, eller har«.
2013-633; § 222, stk. 3, ophæves.
2013-633; I § 223, stk. 1, udgår »adoptivbarn,«.
2013-633; §§ 223 a-231 ophæves, og i stedet indsættes:
2013-633; § 232 affattes således:
2013-633; § 233 ophæves, og i stedet indsættes:
2013-633; To steder i § 235, stk. 1, 1. pkt., og to steder i § 235, stk. 2, ændres »utugtige« til: »pornografiske«.
2013-633; § 235, stk. 3, affattes således:
2013-633; § 235 a ophæves.
2013-633; § 236 affattes således:
2013-633; I § 262 a, stk. 1 og 2, ændres »kønslig usædelighed« til: »prostitution, optagelse af pornografiske fotografier eller film, forestilling med pornografisk optræden«.
2013-633; I § 29 a, stk. 1, 1. og 2. pkt., og § 741 a, stk. 2, 1. og 3. pkt., ændres »§§ 216 og 217, § 218, stk. 2, § 222, stk. 2, 2. led« til: »§ 216, § 222, stk. 2«.
2013-633; I § 29 a, stk. 1, 2. pkt., og § 741 a, stk. 1 og stk. 3, 2. pkt., udgår »§ 224 eller«.
2013-633; I § 41 e, stk. 4, 3. pkt., og § 1017 b, stk. 1, ændres »fo‍rb‍r‍yd‍elser mod kønssædeligheden« til: »seksualforbr‍ydelser«.
2013-633; I § 741 a, stk. 2, 3. pkt., ændres »§ 224 eller § 225, jf. § 210,« til: »§ 225, jf.«
2013-633; I § 741 a, stk. 3, 1. pkt., ændres »§ 218, stk. 1, §§ 219-221, § 222, stk. 1, og stk. 2, 1. led« til: »§§ 218-221, § 222, stk. 1«.
2013-633; I § 741 a, stk. 3, 2. pkt., ændres »§ 218, stk. 1, §§ 219-221, § 222, stk. 1 og stk. 2, 1. led« til: »§§ 218-221, § 222, stk. 1«.
2013-633; I § 741 g, stk. 1, 1. pkt., ændres »sædelighedsforbrydelse« til: »seksualforbrydelse«.
2013-633; I § 762, stk. 2, nr. 2, ændres »§ 218, stk. 1, § 222, §§ 224 eller 225, jf. § 218, stk. 1,« til: »§ 218, § 222, § 225, jf. § 218«.
2013-633; I § 781, stk. 1, nr. 3, ændres »228« til: »233, stk. 1«.
2013-633; I § 783, stk. 2, 1. pkt., ændres »§§ 191, 192 a, 228, 237« til: »§§ 191 eller 192 a, § 233, stk. 1, §§ 237«.
2013-633; I § 2, stk. 2, nr. 1, ændres »sædelighedsforbrydelse« til: »seksualforbrydelse«.
2013-633; I § 31, stk. 2, 1. pkt., udgår »der søger fortjeneste ved prostitution, eller«.
2013-634; § 79, stk. 2, 2. pkt., affattes således:
2013-634; I § 93, stk. 2, nr. 1, ændres »§ 296, stk. 2« til: »§ 296, stk. 3«.
2013-634; I § 97 a, stk. 1, udgår »og konfiskation«, og i § 97 a, stk. 1, nr. 1 og 2, udgår »eller konfiskationskravet«.
2013-634; I § 97 a indsættes som stk. 4:
2013-634; I § 122 ændres »3 år« til: »6 år«.
2013-634; § 131, stk. 2, ophæves.
2013-634; I § 296 indsættes efter stk. 1 som nyt stykke:
2013-634; § 299 affattes således:
2013-634; Efter § 299 c indsættes:
2013-634; I § 304 a, stk. 1, ændres »1 år og 6 måneder« til: »4 år«.
2013-634; I § 799, stk. 1, 1. pkt., ændres »§ 180« til: »§ 125 a, § 180«, og »§ 192 b, stk. 1-3, eller § 237« ændres til: »§ 192 a, § 192 b, stk. 1-3, § 237, § 262 a, § 286, stk. 1, jf. § 276, § 288 eller § 289«.
2013-634; § 799, stk. 1, 3. pkt., ophæves.
2013-634; I § 804, stk. 3, 3. pkt., § 806, stk. 5, 1. pkt., der bliver stk. 6, 1. pkt., § 807, stk. 1, 2. pkt., og § 807 a, 1. og 3. pkt., ændres »stk. 3« til: »stk. 4«.
2013-634; I § 804, stk. 3, 3. pkt., og § 807, stk. 3, 2. pkt., ændres »stk. 5« til: »stk. 6«.
2013-634; I § 806, stk. 2, 1. pkt., og § 807 a, 3. pkt., ændres »stk. 7« til: »stk. 8«.
2013-634; I § 806 indsættes efter stk. 2 som nyt stykke:
2013-634; I § 806, stk. 3, 1. pkt., der bliver stk. 4, 1. pkt., ændres »stk. 4« til: »stk. 5«.
2013-634; Efter § 807 e indsættes i kapitel 74:
2013-634; I § 43 indsættes som stk. 5:
2013-634; § 94, stk. 1, 2. pkt., ophæves.
2013-634; I § 369 indsættes som stk. 2:
2013-634; I § 63 indsættes som stk. 7:
2013-634; I § 23 indsættes som stk. 4:
2013-634; I § 21 indsættes som stk. 4:
2013-634; I § 19 indsættes som stk. 4:
2013-634; I § 164 indsættes som stk. 7:
2013-634; I § 54 indsættes som stk. 7:
2013-634; I § 1, stk. 2, ændres »forhandlere af genstande samt auk­ti‍ons­holdere« til: »erhvervsdrivende, der ikke er omfattet af stk. 1«.
2013-634; I § 2 ændres »Forhandlere af genstande samt auktionsholdere må ikke modtage kontantbetalinger på 100.000 kr.« til: »Erhvervsdrivende, som ikke er omfattet af § 1, stk. 1, må ikke modtage kontantbetalinger på 50.000 kr.«
2013-635; I § 8 ændres »2012-13« til: »2014-15«.
2013-636; I § 2, stk. 1, nr. 1, indsættes efter »134 a,«: »134 b,«, og »straffelovens kapitel 25« ændres til: »straffelovens 25. kapitel«.
2013-636; I § 2 indsættes efter stk. 1 som nye stykker:
2013-636; I § 2, stk. 2, der bliver stk. 4, indsættes som 3. pkt.:
2013-636; I § 2 indsættes som stk. 7:
2013-636; Efter § 2 indsættes:
2013-636; I overskriften til kapitel 4 ændres »Videregivelse« til: »Behandling«.
2013-636; Efter § 6 indsættes i kapitel 4:
2013-636; Efter kapitel 5 indsættes:
2013-636; I § 9, stk. 1, nr. 2, udgår »eller«.
2013-636; I § 9, stk. 1, nr. 3, ændres »§ 7.« til: »§ 7 eller«.
2013-636; I § 9, stk. 1, indsættes som nr. 4:
2013-637; Efter § 8 a indsættes i kapitel 5 a:
2013-637; I § 9, stk. 1, nr. 2, udgår »eller«.
2013-637; I § 9, stk. 1, nr. 3, ændres »§ 7.« til: »§ 7 eller«.
2013-637; I § 9, stk. 1, nr. 4, ændres »§ 8 a« til: »§§ 8 a eller 8 b«.
2013-638; § 1, stk. 2, ophæves, og i stedet indsættes:
2013-638; §§ 9-12 ophæves, og i stedet indsættes:
2013-638; § 14, stk. 2, ophæves.
2013-638; Efter § 14 indsættes før overskriften før § 15:
2013-638; § 15 ophæves, og i stedet indsættes:
2013-638; Overskriften før § 16 og § 16 ophæves, og i stedet indsættes:
2013-638; § 19, stk. 1, affattes således:
2013-638; § 19, stk. 2, nr. 1, affattes således:
2013-638; § 19, stk. 2, nr. 5, affattes således:
2013-638; § 24, stk. 3, affattes således:
2013-638; § 27, stk. 1, ophæves, og i stedet indsættes:
2013-638; I § 27, stk. 2, der bliver stk. 5, ændres »stk. 1« til: »stk. 1-4«.
2013-638; I § 27, stk. 4, der bliver stk. 7, ændres »§ 1, stk. 2,« til: »§ 1, stk. 3,«, og »stk. 3« ændres til: »stk. 6«.
2013-638; I § 41, stk. 1, ændres »og 41 e« til: », 41 e og 41 g«.
2013-638; § 41 b, stk. 3, nr. 1, ophæves, og i stedet indsættes:
2013-638; § 41 d, stk. 3, ophæves, og i stedet indsættes:
2013-638; § 41 d, stk. 4, nr. 2, der bliver stk. 5, nr. 2, ophæves, og i stedet indsættes:
2013-638; I § 41 d, stk. 5, 2. pkt., der bliver stk. 6, 2. pkt., ændres »stk. 4, nr. 2 eller 3« til: »stk. 5, nr. 2-5«.
2013-638; § 41 e, stk. 3, 2. pkt., ophæves, og i stedet indsættes:
2013-638; I § 41 f, stk. 2, 2. pkt., og stk. 3, 2. pkt., ændres »nr. 1« til: »nr. 1-3«.
2013-638; § 41 g ophæves, og i stedet indsættes:
2013-638; § 255 a, stk. 2, ophæves, og i stedet indsættes:
2013-638; § 255 a, stk. 4, 2. pkt., der bliver stk. 5, 2. pkt., ophæves, og i stedet indsættes:
2013-638; I § 713, stk. 2, og stk. 3, 1. pkt., ændres »41 g« til: »41 h«.
2013-638; § 729 d, stk. 2, ophæves, og i stedet indsættes:
2013-638; § 729 d, stk. 3, nr. 2, der bliver stk. 4, nr. 2, ophæves, og i stedet indsættes:
2013-638; § 729 d, stk. 5, 2. pkt., der bliver stk. 6, 2. pkt., ophæves, og i stedet indsættes:
2013-639; I § 32, stk. 2, ændres »offentlighedslovens § 2 samt §§ 7-11 og 14« til: »§§ 19-29 og 35 i lov om offentlighed i forvaltningen«.
2013-639; I § 3 ændres »§§ 3-10, 12-18 og 22-26« til: »§§ 3-9 a, 10-18 og 22-26«.
2013-639; § 4 affattes således:
2013-639; I § 46, stk. 1, 2. pkt., og § 56, stk. 1, 2. pkt., ændres »Offentlighedslovens § 12« til: »§§ 30 og 34 i lov om offentlighed i forvaltningen«.
2013-639; § 14, stk. 4, ophæves.
2013-639; I § 76 b, stk. 3, 3. pkt., ændres »§ 12, stk. 1,« til: »§ 30«.
2013-639; I § 27 g, stk. 3, 3. pkt., ændres »§ 12, stk. 1,« til: »§ 30«.
2013-639; I § 10 g, stk. 3, 2. pkt., ændres »§ 12, stk. 1,« til: »§ 30«.
2013-639; I § 4, stk. 1, nr. 3, ændres »§ 41 c, stk. 3« til: »§ 41 c, stk. 4«.
2013-639; I § 4, stk. 2, nr. 1, ændres »§ 41 d, stk. 3« til: »§ 41 d, stk. 5«.
2013-639; I § 4, stk. 2, nr. 5, ændres »§ 729 d, stk. 3« til: »§ 729 d, stk. 4«.
2013-639; § 49, stk. 4, ophæves.
2013-639; § 56, stk. 4, ophæves.
2013-639; § 7, stk. 5, affattes således:
2013-639; I § 16, stk. 10, ændres »§§ 9, 10 og 12-16« til: »§§ 9, 9 a og 10-16«.
2013-639; § 3, stk. 5, affattes således:
2013-639; I § 35 e, stk. 1, 2. pkt., ændres »§ 11« til: »§ 9 b«.
2013-639; I § 6 indsættes som stk. 2:
2013-639; I § 73, stk. 9, ændres »§§ 9, 10 og 12-16« til: »§§ 9, 9 a og 10-16«.
